accuracy,precision,recall,f1-score,auc,mcc,hospital,model,method,n_calib,n_test
0.7785112897053196,0.6470065204505039,0.660114907771394,0.6534949857805717,0.8290422398529913,0.4908078164143392,H1,catboost,neurocombat,30,10452
0.7790055248618785,0.7044025157232704,0.7724137931034483,0.7368421052631579,0.8746225965358335,0.5487879017320546,H27,catboost,neurocombat,30,362
0.6911532385466035,0.923836389280677,0.6602822580645161,0.770135214579659,0.812694990581587,0.384282667259921,H14,catboost,neurocombat,30,1266
0.7853658536585366,0.8,0.7850467289719626,0.7924528301886793,0.8502765592218196,0.5703803804227154,H29,catboost,neurocombat,30,205
0.815540113708149,0.587012987012987,0.6295264623955432,0.6075268817204301,0.8448628406794474,0.4876664601164572,H4,catboost,neurocombat,30,3166
0.7868103166829905,0.5938461538461538,0.6925837320574163,0.639425731639978,0.8330993268778346,0.4922725057003304,H7,catboost,neurocombat,30,3063
0.827193770589997,0.3851351351351351,0.5170068027210885,0.441432720232333,0.7894708838216676,0.3469783548201915,H3,catboost,neurocombat,30,3339
0.73989898989899,0.5375816993464052,0.7183406113537117,0.6149532710280374,0.83025665686784,0.434828339196191,H12,catboost,neurocombat,30,1584
0.6123367852318775,0.913978494623656,0.547423887587822,0.6847308678139875,0.7659745903921918,0.3178265288756096,H9,catboost,neurocombat,30,2221
0.6856060606060606,0.6341463414634146,0.4952380952380952,0.5561497326203209,0.7633423180592992,0.3242384015080086,H28,catboost,neurocombat,30,264
0.7996357012750456,0.6657754010695187,0.7238372093023255,0.6935933147632312,0.866506538769971,0.5461810054353051,H17,catboost,neurocombat,30,1098
0.7606973058637084,0.6309523809523809,0.5435897435897435,0.5840220385674931,0.7867913432133615,0.4196427262021823,H21,catboost,neurocombat,30,631
0.7357142857142858,0.6825396825396826,0.7166666666666667,0.6991869918699187,0.7902083333333333,0.4642070825485275,H30,catboost,neurocombat,30,140
0.6656995486782721,0.5227108868060563,0.6590909090909091,0.5830317651789304,0.721255562619199,0.3160019557127845,H5,catboost,neurocombat,30,3102
0.4548192771084337,0.8961748633879781,0.3234714003944773,0.4753623188405797,0.7015414766517167,0.1925211383459077,H20,catboost,neurocombat,30,664
0.6505867014341591,0.8516439454691259,0.5448948178553105,0.6645807259073843,0.749205270593155,0.3719829890317978,H6,catboost,neurocombat,30,3068
0.7196753674051327,0.7042583060364997,0.699674569967457,0.7019589552238806,0.7958538561219304,0.4373763139720412,H2,catboost,neurocombat,30,4559
0.7896419437340153,0.6100917431192661,0.6258823529411764,0.6178861788617886,0.8260269586324435,0.4728666122649101,H13,catboost,neurocombat,30,1564
0.5091642228739003,0.9896414342629484,0.4836448598130841,0.6497515040544075,0.8056318146417446,0.1897084558660509,H8,catboost,neurocombat,30,2728
0.7731239092495636,0.5359116022099447,0.6783216783216783,0.5987654320987654,0.8380874939014473,0.4496169088103497,H22,catboost,neurocombat,30,573
0.7292929292929293,0.695,0.6556603773584906,0.6747572815533981,0.7917777851856791,0.4438119765586614,H18,catboost,neurocombat,30,990
0.7688966116420504,0.6193181818181818,0.8341836734693877,0.7108695652173913,0.8590115888252534,0.5414907767478087,H16,catboost,neurocombat,30,1151
0.6473469387755102,0.6338028169014085,0.3543307086614173,0.4545454545454545,0.6614310501982231,0.2443256763030811,H15,catboost,neurocombat,30,1225
0.6978131212723658,0.7461928934010152,0.5903614457831325,0.6591928251121076,0.7789741643740316,0.4030692246308165,H23,catboost,neurocombat,30,503
